Miejscowość;Ulica;Zużycie;Liczba osób;Średnie miesięczne zużycie
BABICE NOWE;DĄBKOWSKIEGO	;129;2;5,38
BABICE NOWE;DOBRZAŃSKIEGO	;583;3;16,19
BABICE NOWE;DOBRZAŃSKIEGO	;190;4;3,96
BABICE NOWE;DOBRZAŃSKIEGO	;167;4;3,48
BABICE NOWE;DOBRZAŃSKIEGO	;62;2;2,58
BABICE NOWE;DOLNA	;195;1;16,25
BABICE NOWE;DOLNA	;180;1;15,00
BABICE NOWE;DOLNA	;180;1;15,00
BABICE NOWE;DOLNA	;206;2;14,71
BABICE NOWE;DOLNA	;;3;
BABICE NOWE;DOLNA	;;5;
BABICE NOWE;DOLNA	;25;4;1,56
BABICE NOWE;DOLNA	;;4;
BABICE NOWE;DOLNA	;3;1;0,75
BABICE NOWE;DOLNA	;70;4;4,38
BABICE NOWE;DOLNA	;161;2;6,71
BABICE NOWE;DOLNA	;144;2;6,00
BABICE NOWE;DOLNA	;199;3;5,53
BABICE NOWE;DOLNA	;167;3;4,64
BABICE NOWE;DOLNA	;202;4;4,21
BABICE NOWE;DOLNA	;96;2;4,00
BABICE NOWE;DOLNA	;46;1;3,83
BABICE NOWE;DOLNA	;40;1;3,33
BABICE NOWE;DOLNA	;76;2;3,17
BABICE NOWE;DOLNA	;109;3;3,03
BABICE NOWE;DOLNA	;171;5;2,85
BABICE NOWE;DOLNA	;87;3;2,42
BABICE NOWE;DOLNA	;54;5;0,90
BABICE NOWE;DOLNA	;12;4;0,25
BABICE NOWE;DOLNA	;-10;2;-0,42
BABICE NOWE;KAMERALNA;11439;187;30,59
BABICE NOWE;KAMERALNA;;26;0,00
BABICE NOWE;KRESOWA	;428;2;17,83
BABICE NOWE;KRESOWA	;311;2;12,96
BABICE NOWE;KRESOWA	;851;6;12,89
BABICE NOWE;KRESOWA	;180;2;7,50
BABICE NOWE;KRESOWA	;154;2;6,42
BABICE NOWE;KRESOWA	;66;1;6,00
BABICE NOWE;KRESOWA	;130;2;5,42
